Technology,Value Chain,Sub.Sector,HS6
Gas,Midstream,LNG/LPG equipment,841392
Gas,Midstream,LNG/LPG equipment,841960
Gas,Midstream,LNG/LPG equipment,842129
Gas,Midstream,LNG/LPG equipment,842890
Gas,Midstream,LNG/LPG equipment,843041
Gas,Midstream,LNG/LPG equipment,843049
Gas,Midstream,LNG/LPG equipment,843139
Gas,Midstream,LNG/LPG equipment,843143
Gas,Midstream,LNG/LPG equipment,843149
Gas,Midstream,LNG/LPG equipment,847410
Gas,Midstream,LNG/LPG equipment,847420
Gas,Midstream,LNG/LPG equipment,847490
Gas,Midstream,LNG/LPG equipment,847982
Gas,Midstream,LNG/LPG equipment,847989
Gas,Midstream,LNG/LPG equipment,870520
Gas,Midstream,LNG/LPG equipment,890120
Gas,Midstream,LNG/LPG equipment,890520
Gas,Midstream,LNG/LPG equipment,890590
Gas,Midstream,LNG/LPG equipment,902810
Gas,Midstream,Natural Gas,271111
Gas,Midstream,Natural Gas,271121
Gas,Midstream,Pipelines,730411
Gas,Midstream,Pipelines,730419
Gas,Midstream,Pipelines,730422
Gas,Midstream,Pipelines,730423
Gas,Midstream,Pipelines,730424
Gas,Midstream,Pipelines,730429
Gas,Midstream,Pipelines,730511
Gas,Midstream,Pipelines,730512
Gas,Midstream,Pipelines,730519
Gas,Midstream,Pipelines,730520
Gas,Midstream,Pipelines,730611
Gas,Midstream,Pipelines,730619
Gas,Midstream,Pipelines,730621
Gas,Midstream,Pipelines,730629
Gas,Midstream,Propane,271112
Gas,Upstream,Fuels & storage,271111
Gas,Upstream,Fuels & storage,271112
Gas,Upstream,Fuels & storage,271113
Gas,Upstream,Fuels & storage,271119
Gas,Upstream,Fuels & storage,271121
Gas,Upstream,Fuels & storage,271129
Nuclear,Midstream,Nuclear Fuel,284410
Nuclear,Midstream,Nuclear Fuel,284420
Nuclear,Midstream,Nuclear Fuel,284450
Nuclear,Midstream,Reactor components,840110
Nuclear,Midstream,Reactor components,840120
Nuclear,Midstream,Reactor components,840130
Nuclear,Midstream,Reactor components,840140
Nuclear,Midstream,Steam cycle/BOP,840211
Nuclear,Midstream,Steam cycle/BOP,840212
Nuclear,Midstream,Steam cycle/BOP,840219
Nuclear,Midstream,Steam cycle/BOP,840220
Nuclear,Midstream,Steam cycle/BOP,840290
Nuclear,Midstream,Steam cycle/BOP,840310
Nuclear,Midstream,Steam cycle/BOP,840390
Nuclear,Midstream,Steam cycle/BOP,840410
Nuclear,Midstream,Steam cycle/BOP,840420
Nuclear,Midstream,Steam cycle/BOP,840490
Nuclear,Midstream,Steam cycle/BOP,840510
Nuclear,Midstream,Steam cycle/BOP,840590
Nuclear,Midstream,Steam cycle/BOP,840681
Nuclear,Midstream,Steam cycle/BOP,840682
Nuclear,Midstream,Steam cycle/BOP,840690
Nuclear,Midstream,Steam cycle/BOP,841111
Nuclear,Midstream,Steam cycle/BOP,841112
Nuclear,Midstream,Steam cycle/BOP,841181
Nuclear,Midstream,Steam cycle/BOP,841182
Nuclear,Midstream,Steam cycle/BOP,841191
Nuclear,Midstream,Steam cycle/BOP,841199
Nuclear,Upstream,Uranium mining & conversion,284410
Nuclear,Upstream,Uranium mining & conversion,284420
Nuclear,Upstream,Uranium mining & conversion,284450
Oil,Midstream,Crude Oils,270900
Oil,Midstream,Fuel Oils: Heavy Oils,271019
Oil,Midstream,Fuel Oils: Light Oils,271012
Oil,Midstream,Fuels & storage,731100
Oil,Midstream,Fuels & storage,820713
Oil,Midstream,Fuels & storage,820719
Oil,Midstream,Fuels & storage,841960
Oil,Midstream,Fuels & storage,842129
Oil,Midstream,Fuels & storage,842890
Oil,Midstream,Fuels & storage,843041
Oil,Midstream,Fuels & storage,843049
Oil,Midstream,Fuels & storage,843139
Oil,Midstream,Fuels & storage,843143
Oil,Midstream,Fuels & storage,843149
Oil,Midstream,Fuels & storage,847410
Oil,Midstream,Fuels & storage,847420
Oil,Midstream,Fuels & storage,847490
Oil,Midstream,Fuels & storage,847982
Oil,Midstream,Fuels & storage,847989
Oil,Midstream,Fuels & storage,850131
Oil,Midstream,Fuels & storage,850132
Oil,Midstream,Fuels & storage,850133
Oil,Midstream,Fuels & storage,850134
Oil,Midstream,Fuels & storage,850161
Oil,Midstream,Fuels & storage,850162
Oil,Midstream,Fuels & storage,850163
Oil,Midstream,Fuels & storage,850164
Oil,Midstream,Fuels & storage,850211
Oil,Midstream,Fuels & storage,850212
Oil,Midstream,Fuels & storage,850213
Oil,Midstream,Fuels & storage,850220
Oil,Midstream,Fuels & storage,850239
Oil,Midstream,Fuels & storage,850300
Oil,Midstream,Fuels & storage,870520
Oil,Midstream,Fuels & storage,890120
Oil,Midstream,Fuels & storage,890520
Oil,Midstream,Fuels & storage,890590
Oil,Midstream,Fuels & storage,902810
Oil,Midstream,Petroleum Solids,271311
Oil,Midstream,Petroleum Solids,271312
Oil,Midstream,Petroleum Solids,271320
Oil,Midstream,Petroleum Solids,271390
Oil,Midstream,Pipelines,730411
Oil,Midstream,Pipelines,730419
Oil,Midstream,Pipelines,730422
Oil,Midstream,Pipelines,730423
Oil,Midstream,Pipelines,730424
Oil,Midstream,Pipelines,730429
Oil,Midstream,Pipelines,730511
Oil,Midstream,Pipelines,730512
Oil,Midstream,Pipelines,730519
Oil,Midstream,Pipelines,730520
Oil,Midstream,Pipelines,730611
Oil,Midstream,Pipelines,730619
Oil,Midstream,Pipelines,730621
Oil,Midstream,Pipelines,730629
Oil,Midstream,Pumps & compressors,841350
Oil,Midstream,Pumps & compressors,841360
Oil,Midstream,Pumps & compressors,841382
Oil,Midstream,Pumps & compressors,841392
Oil,Midstream,Waste Oils,271091
Oil,Midstream,Waste Oils,271099
Oil,Upstream,Fuels & storage,270900
Oil,Upstream,Fuels & storage,271012
Oil,Upstream,Fuels & storage,271019
Oil,Upstream,Fuels & storage,271091
Oil,Upstream,Fuels & storage,271099
Oil,Upstream,Fuels & storage,271311
Oil,Upstream,Fuels & storage,271312
Oil,Upstream,Fuels & storage,271320
Oil,Upstream,Fuels & storage,271390
Solar,Midstream,Module assembly,854140
Solar,Midstream,Module assembly,854142
Solar,Midstream,Module assembly,854143
Solar,Midstream,Mounting/trackers & BOS,850131
Solar,Midstream,Mounting/trackers & BOS,850132
Solar,Midstream,Mounting/trackers & BOS,850172
Solar,Midstream,Mounting/trackers & BOS,850180
Wind,Midstream,Blades,841290
Wind,Midstream,Nacelle & drivetrain,850164
Wind,Midstream,Nacelle & drivetrain,850231
Wind,Midstream,Nacelle & drivetrain,850300
Wind,Midstream,Towers,730820
